Entity,Code,Year,Wind (% equivalent primary energy)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.00022305273
Africa,,1994,0.00058261654
Africa,,1995,0.00065329357
Africa,,1996,0.00071795384
Africa,,1997,0.000712964
Africa,,1998,0.00074109924
Africa,,1999,0.0018733632
Africa,,2000,0.016238656
Africa,,2001,0.03688529
Africa,,2002,0.03861727
Africa,,2003,0.04419306
Africa,,2004,0.058660407
Africa,,2005,0.05903145
Africa,,2006,0.062868714
Africa,,2007,0.07173857
Africa,,2008,0.086830966
Africa,,2009,0.10281735
Africa,,2010,0.1424712
Africa,,2011,0.146747
Africa,,2012,0.14784506
Africa,,2013,0.20420054
Africa,,2014,0.27817047
Africa,,2015,0.47520968
Africa,,2016,0.5773521
Africa,,2017,0.68148303
Africa,,2018,0.71879274
Africa,,2019,0.9141477
Africa,,2020,0.9526749
Africa,,2021,1.0620695
Africa,,2022,1.107095
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.00022305273
Africa (EI),,1994,0.00058261654
Africa (EI),,1995,0.00065329357
Africa (EI),,1996,0.00071795384
Africa (EI),,1997,0.000712964
Africa (EI),,1998,0.00074109924
Africa (EI),,1999,0.0018733606
Africa (EI),,2000,0.016238656
Africa (EI),,2001,0.036885295
Africa (EI),,2002,0.038617272
Africa (EI),,2003,0.044193055
Africa (EI),,2004,0.058660407
Africa (EI),,2005,0.05903145
Africa (EI),,2006,0.06286872
Africa (EI),,2007,0.07173857
Africa (EI),,2008,0.08683097
Africa (EI),,2009,0.10281735
Africa (EI),,2010,0.14247118
Africa (EI),,2011,0.14674698
Africa (EI),,2012,0.14784504
Africa (EI),,2013,0.20420054
Africa (EI),,2014,0.27817047
Africa (EI),,2015,0.47520968
Africa (EI),,2016,0.5773521
Africa (EI),,2017,0.68148303
Africa (EI),,2018,0.71879274
Africa (EI),,2019,0.9141477
Africa (EI),,2020,0.9526748
Africa (EI),,2021,1.0620695
Africa (EI),,2022,1.1070951
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.00046260856
Algeria,DZA,2015,0.008285812
Algeria,DZA,2016,0.008266354
Algeria,DZA,2017,0.008105944
Algeria,DZA,2018,0.003951089
Algeria,DZA,2019,0.0037963223
Algeria,DZA,2020,0.0031164202
Algeria,DZA,2021,0.003907885
Algeria,DZA,2022,0.0039970987
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.004327963
Argentina,ARG,1997,0.0064908606
Argentina,ARG,1998,0.013977314
Argentina,ARG,1999,0.014775456
Argentina,ARG,2000,0.014708434
Argentina,ARG,2001,0.021246457
Argentina,ARG,2002,0.0327373
Argentina,ARG,2003,0.032227308
Argentina,ARG,2004,0.02802891
Argentina,ARG,2005,0.025978642
Argentina,ARG,2006,0.023858363
Argentina,ARG,2007,0.020119285
Argentina,ARG,2008,0.013439119
Argentina,ARG,2009,0.012065503
Argentina,ARG,2010,0.007960149
Argentina,ARG,2011,0.008068957
Argentina,ARG,2012,0.10746326
Argentina,ARG,2013,0.12590012
Argentina,ARG,2014,0.17127606
Argentina,ARG,2015,0.16027391
Argentina,ARG,2016,0.1476486
Argentina,ARG,2017,0.16416803
Argentina,ARG,2018,0.3797175
Argentina,ARG,2019,1.4200798
Argentina,ARG,2020,2.8413703
Argentina,ARG,2021,3.505683
Argentina,ARG,2022,3.6892743
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.00038340868
Asia,,1991,0.0013618005
Asia,,1992,0.0023402027
Asia,,1993,0.00315137
Asia,,1994,0.0055914638
Asia,,1995,0.010325521
Asia,,1996,0.008669357
Asia,,1997,0.010312231
Asia,,1998,0.012552963
Asia,,1999,0.01692705
Asia,,2000,0.019121021
Asia,,2001,0.024671579
Asia,,2002,0.02532132
Asia,,2003,0.030892013
Asia,,2004,0.049674477
Asia,,2005,0.057733
Asia,,2006,0.084979124
Asia,,2007,0.10573019
Asia,,2008,0.1555752
Asia,,2009,0.23517382
Asia,,2010,0.33757022
Asia,,2011,0.45064133
Asia,,2012,0.5661277
Asia,,2013,0.70421606
Asia,,2014,0.77710813
Asia,,2015,0.86498696
Asia,,2016,1.0938709
Asia,,2017,1.31678
Asia,,2018,1.5042006
Asia,,2019,1.6079022
Asia,,2020,1.812922
Asia,,2021,2.3295288
Asia,,2022,2.6175272
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
